,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
1046,Justin Leonard,79,71.583,279.4,60.34,60.44,-0.325,-0.29,-0.615,277,2,,2012,"$540,155 ",USA
1047,Justin Rose,69,69.549,290.9,65.82,70.34,-0.122,1.762,1.64,"1,770",8,1,2012,"$4,290,930 ",ENG
1048,K.J. Choi,71,70.886,282.3,64.08,63.57,-0.344,0.599,0.255,602,2,,2012,"$969,057 ",KOR
1049,Keegan Bradley,90,69.984,302.7,61.65,66.54,0.33,0.791,1.122,655,5,1,2012,"$3,910,658 ",USA
1050,Ken Duke,104,70.376,282.6,65.69,64.61,0.349,0.305,0.654,776,6,,2012,"$1,511,628 ",USA
1051,Kevin Chappell,91,70.89,293.3,56.73,64.11,-0.262,0.181,-0.081,447,1,,2012,"$647,510 ",USA
1052,Kevin Kisner,69,71.342,287.9,61.1,62.48,0.303,-0.442,-0.139,248,1,,2012,"$346,216 ",USA
1053,Kevin Na,80,70.634,281.5,65.91,62.03,0.193,0.252,0.445,"1,095",6,,2012,"$2,029,943 ",USA
1054,Kevin Stadler,85,70.525,292.9,65.09,67.75,-0.263,0.702,0.439,"1,403",5,,2012,"$1,546,036 ",USA
1055,Kevin Streelman,89,70.821,292.8,61.63,66.22,-0.054,0.322,0.268,462,3,,2012,"$893,736 ",USA
1056,Kris Blanks,65,71.201,284.5,65.84,66.84,-0.608,0.547,-0.061,297,,,2012,"$390,059 ",USA
1057,Kyle Reifers,86,71.16,290,61.7,67.41,0.021,0.038,0.058,311,,,2012,"$448,960 ",USA
1058,Kyle Stanley,86,70.633,306.9,59.49,67.06,-0.797,1.181,0.384,"1,492",2,1,2012,"$2,351,857 ",USA
1059,Kyle Thompson,51,72.296,284.2,62.65,64.78,-1.209,-0.189,-1.398,44,,,2012,"$45,460 ",USA
1060,Lee Westwood,60,70.084,298.1,62.17,69.75,-0.359,1.143,0.784,"1,205",7,,2012,"$3,016,569 ",ENG
1061,Louis Oosthuizen,65,69.707,299.5,62.41,68.78,-0.004,0.98,0.976,"1,635",5,,2012,"$3,460,995 ",RSA
1062,Luke Donald,63,69.687,280.1,65.16,64.96,0.818,0.824,1.641,"1,275",8,1,2012,"$3,512,024 ",ENG
1063,Marc Leishman,84,70.831,289.4,55.2,62.76,-0.331,0.543,0.212,"1,165",2,1,2012,"$1,933,761 ",AUS
1064,Marco Dawson,60,72.304,285.9,56.04,62.76,-0.235,-0.98,-1.215,43,,,2012,"$79,727 ",USA
1065,Mark Anderson,75,71.692,295.7,52.23,63.85,-0.133,-0.742,-0.875,209,1,,2012,"$441,019 ",USA
1066,Mark Wilson,84,71.375,276,68.62,64.03,-0.102,-0.143,-0.245,"1,049",3,1,2012,"$2,144,780 ",USA
1067,Martin Flores,95,70.538,295,53.58,63.98,0.656,-0.238,0.419,562,2,,2012,"$1,035,569 ",USA
1068,Martin Laird,77,70.989,298.2,59.16,65.3,0.099,0.449,0.549,"1,024",3,,2012,"$2,172,883 ",SCO
1069,Mathew Goggin,65,71.449,290.8,57.86,67.3,-0.242,-0.084,-0.327,103,,,2012,"$259,604 ",AUS
1070,Matt Bettencourt,80,72.182,288.2,52.29,58.95,-0.201,-1.061,-1.262,177,1,,2012,"$335,076 ",USA
1071,Matt Every,80,70.789,285.5,60.89,66.23,0.096,0.516,0.613,979,6,,2012,"$1,972,166 ",USA
1072,Matt Jones,53,71.367,293.7,55.49,64.74,-0.09,-0.467,-0.557,143,1,,2012,"$300,254 ",AUS
1073,Matt Kuchar,86,69.477,286.2,65.06,65.38,0.472,0.91,1.382,707,9,1,2012,"$3,903,065 ",USA
1074,Michael Bradley,63,72.059,284.5,51.88,65.35,-0.189,-0.765,-0.954,173,,,2012,"$191,746 ",USA
1075,Michael Thompson,80,70.718,283.4,59.43,63.26,0.355,-0.25,0.106,671,3,,2012,"$1,408,374 ",USA
1076,Miguel Angel Carballo,73,71.918,289.5,57.88,64.79,-0.294,-0.876,-1.17,213,,,2012,"$269,980 ",ARG
1077,Nathan Green,73,70.991,283.8,58.97,66.92,0.248,-0.348,-0.1,245,1,,2012,"$366,651 ",AUS
1078,Nick O'Hern,78,71.579,268.9,63.34,63.29,-0.392,-0.096,-0.489,250,1,,2012,"$489,375 ",AUS
1079,Nick Watney,97,70.577,296.8,58.86,66.43,-0.028,0.563,0.536,"2,215",5,1,2012,"$3,044,224 ",USA
1080,Padraig Harrington,67,69.736,293.6,59.86,62.17,-0.02,0.908,0.888,"1,213",3,,2012,"$1,546,272 ",IRL
1081,Pat Perez,81,70.378,291.5,62.33,65.05,0.16,0.603,0.763,"1,073",1,,2012,"$1,064,053 ",USA
1082,Patrick Sheehan,58,71.95,279.3,60.11,62.93,-0.149,-1.113,-1.261,108,,,2012,"$129,590 ",USA
1083,Phil Mickelson,79,70.03,294.4,54.31,64.14,0.562,0.86,1.422,"2,073",7,1,2012,"$4,203,821 ",USA
1084,Richard Lee,71,70.809,285.6,68.72,68.29,0.189,-0.01,0.179,262,1,,2012,"$547,733 ",NZL
1085,Rickie Fowler,84,70.606,293.2,64.43,64.99,-0.202,0.72,0.518,475,5,1,2012,"$3,066,293 ",USA
1086,Ricky Barnes,92,71.163,292,58.1,67.36,-0.488,0.285,-0.203,696,1,,2012,"$805,408 ",USA
1087,Robert Allenby,76,71.355,286.7,59.34,65.79,-0.428,-0.198,-0.626,417,2,,2012,"$808,927 ",AUS
1088,Robert Garrigus,89,70.066,310.3,56.58,69.23,-0.225,1.212,0.988,637,8,,2012,"$3,206,530 ",USA
1089,Robert Karlsson,54,71.453,294.7,55.22,63.25,-0.531,0.062,-0.469,239,,,2012,"$393,340 ",SWE
1090,Roberto Castro,92,70.434,290.6,65.36,68.41,0.048,0.543,0.591,772,1,,2012,"$755,095 ",USA
1091,Rocco Mediate,70,71.218,280.7,62.22,64.84,-0.012,-0.096,-0.108,195,,,2012,"$242,354 ",USA
1092,Rod Pampling,88,71.038,288.8,62.72,64.93,-0.153,0.133,-0.02,505,1,,2012,"$620,893 ",AUS
1093,Roland Thatcher,55,71.646,288.9,62.19,67.8,-0.514,-0.644,-1.158,188,1,,2012,"$396,801 ",USA
1094,Rory McIlroy,60,68.873,310.1,56.61,66.36,0.058,2.347,2.406,"2,827",10,4,2012,"$8,047,952 ",NIR
1095,Rory Sabbatini,84,71.125,287.4,61.04,62.24,-0.37,0.356,-0.014,602,2,,2012,"$1,128,820 ",RSA
1096,Russell Knox,72,70.905,285.8,67.03,69.36,0,0.179,0.179,164,2,,2012,"$512,584 ",SCO
1097,Ryan Moore,89,70.3,287.6,65.75,66.35,0.424,0.424,0.847,"1,105",8,1,2012,"$2,858,944 ",USA
1098,Ryan Palmer,81,70.252,303.1,57.95,65.16,0.453,0.55,1.003,"1,070",4,,2012,"$1,501,215 ",USA
1099,Ryuji Imada,78,71.978,276.4,56.13,60.6,0.351,-1.262,-0.91,113,1,,2012,"$238,648 ",JPN
1100,Sangmoon Bae,81,71.629,289.8,58.08,59.81,0.128,-1.181,-1.053,608,2,,2012,"$1,165,952 ",KOR
1101,Scott Brown,65,71.835,291.2,60.22,64.5,-0.468,-0.303,-0.771,212,3,,2012,"$478,763 ",USA
1102,Scott Dunlap,57,71.653,281.4,64.66,67.21,-0.688,0.089,-0.6,77,,,2012,"$230,220 ",USA
1103,Scott Piercy,95,70.409,304.5,56.06,65.73,0.221,0.635,0.857,483,4,1,2012,"$2,699,205 ",USA
1104,Scott Stallings,78,71.49,302.4,58.1,66.38,-0.405,0.081,-0.323,781,3,1,2012,"$1,293,739 ",USA
1105,Sean O'Hair,84,70.615,297.5,59.98,68.25,-0.286,0.654,0.368,744,2,,2012,"$1,160,981 ",USA
1106,Sergio Garcia,57,69.928,292.4,61.15,64.98,0.4,0.704,1.104,733,3,1,2012,"$2,510,116 ",ESP
1107,Seung-Yul Noh,105,70.256,300.4,59.34,67.41,0.142,0.579,0.721,"1,379",3,,2012,"$1,629,751 ",KOR
1108,Spencer Levin,81,70.776,283.7,57.3,60.97,0.33,-0.069,0.262,735,3,,2012,"$1,283,616 ",USA
1109,Stephen Ames,54,71.511,283.7,61.88,62.18,-0.255,-0.651,-0.906,142,,,2012,"$193,686 ",CAN
1110,Steve Stricker,73,69.865,285.4,63.31,68.33,0.134,1.161,1.295,685,7,1,2012,"$3,420,021 ",USA
1111,Steve Wheatcroft,56,71.584,286.9,62.37,66.22,0.04,-0.546,-0.506,92,,,2012,"$135,196 ",USA
1112,Stewart Cink,71,71.483,288.8,53.43,64.26,0.301,-0.529,-0.228,310,,,2012,"$477,173 ",USA
1113,Stuart Appleby,75,71.095,283.3,65.45,64.79,0.154,-0.282,-0.128,287,,,2012,"$377,559 ",AUS
1114,Sung Kang,75,72.571,285.7,57.53,59.15,0.051,-1.812,-1.761,146,,,2012,"$169,439 ",KOR
1115,"Ted Potter, Jr.",77,71.71,284.5,64.18,63.32,0.073,-0.896,-0.823,652,1,1,2012,"$1,383,170 ",USA
1116,Tiger Woods,69,68.904,297.4,63.93,67.58,0.339,1.971,2.31,"2,663",9,3,2012,"$6,133,158 ",USA
1117,Tim Clark,60,70.697,276.7,71.6,64.26,-0.121,0.422,0.301,"1,065",3,,2012,"$1,407,028 ",RSA
1118,Tim Herron,88,70.781,289.4,59.93,67.36,-0.174,0.508,0.334,339,2,,2012,"$660,279 ",USA
1119,Tom Gillis,75,70.812,289,66.09,63.85,0.217,0.122,0.339,"1,277",3,,2012,"$1,238,058 ",USA
1120,Tom Pernice Jr.,62,72.137,273.9,61.26,61.69,-0.318,-0.809,-1.127,139,1,,2012,"$189,907 ",USA
1121,Tommy Biershenk,74,72.494,285.4,57.22,59.89,0.224,-1.451,-1.227,73,,,2012,"$107,266 ",USA
1122,Tommy Gainey,98,71.54,297.2,55.63,62.3,0.113,-0.63,-0.517,631,2,1,2012,"$1,540,749 ",USA
1123,Trevor Immelman,76,71.37,290.9,59.7,63.45,-0.122,0.487,0.365,423,,,2012,"$617,296 ",RSA
1124,Troy Kelly,68,71.531,299.5,52.6,63.17,0.05,-0.742,-0.692,462,1,,2012,"$786,832 ",USA
1125,Troy Matteson,100,71.247,298.9,52.67,64.01,0.136,-0.187,-0.051,"1,190",3,,2012,"$1,198,953 ",USA
1126,Vaughn Taylor,81,71.059,286,60.59,66.3,0.031,-0.001,0.03,312,,,2012,"$547,129 ",USA
1127,Vijay Singh,99,70.156,295.4,61.62,66.22,-0.404,1.167,0.763,"1,406",5,,2012,"$1,586,305 ",FIJ
1128,Webb Simpson,77,70.04,288.6,61.47,67.47,0.211,0.912,1.123,785,7,1,2012,"$3,436,758 ",USA
1129,Will Claxton,99,70.369,290.4,65.36,69.06,-0.167,0.679,0.512,530,2,,2012,"$780,969 ",USA
1130,William McGirt,96,70.729,285.4,60.58,66.3,0.282,-0.029,0.253,"1,125",3,,2012,"$1,228,947 ",USA
1131,Y.E. Yang,64,71.005,284.9,61.06,58.51,0.516,-0.663,-0.146,351,,,2012,"$454,276 ",KOR
1132,Zach Johnson,95,69.821,281.1,68.53,64.95,0.568,0.629,1.197,"1,073",6,2,2012,"$4,504,244 ",USA
1133,�?ngel Cabrera,54,71.581,299.7,57.02,63.33,-0.217,-0.234,-0.451,177,,,2012,"$283,385 ",ARG
1134,Aaron Baddeley,68,71.503,288.5,50.71,58,0.661,-0.979,-0.319,526,2,,2013,"$721,024 ",AUS
1135,Aaron Watkins,46,71.77,277.1,63.03,62.25,0.402,-0.991,-0.589,126,1,,2013,"$217,495 ",USA
1136,Adam Scott,61,69.3,297.8,61.84,68.8,-0.027,1.337,1.31,"2,278",6,2,2013,"$4,892,611 ",AUS
1137,Alistair Presnell,59,71.951,284.6,58.01,62.28,-0.02,-1.01,-1.03,140,,,2013,"$163,134 ",AUS
1138,Andres Romero,63,71.256,293.1,57.35,61.3,0.117,-0.317,-0.2,430,2,,2013,"$718,507 ",ARG
1139,Andrew Svoboda,46,71.747,290.1,60.91,65.91,0.067,-0.629,-0.562,89,,,2013,"$77,219 ",USA
1140,Ben Crane,62,70.864,281,60.94,63.98,0.024,0.175,0.199,369,2,,2013,"$796,947 ",USA
1141,Ben Curtis,59,71.531,274.9,60.55,63.84,0.211,-0.458,-0.248,251,,,2013,"$372,543 ",USA
1142,Ben Kohles,75,71.488,279,67.78,65.26,0.051,-0.509,-0.459,286,1,,2013,"$419,416 ",USA
1143,Bill Haas,85,70.023,288.2,62.31,67.79,0.266,0.999,1.265,573,9,1,2013,"$3,475,563 ",USA
1144,Billy Horschel,96,70.244,293.8,64.17,67.48,0.381,0.275,0.656,728,8,1,2013,"$3,501,703 ",USA
1145,Bo Van Pelt,72,71.08,285.9,63.8,65.63,-0.181,0.111,-0.07,612,1,,2013,"$956,629 ",USA
1146,Bob Estes,66,70.361,285,63.11,64.9,0.335,0.424,0.759,688,2,,2013,"$769,717 ",USA
1147,Bobby Gates,49,72.59,296.2,51.59,62.84,0.011,-1.408,-1.398,144,1,,2013,"$320,248 ",USA
1148,Boo Weekley,100,70.611,290.9,66.36,69.39,-0.676,0.774,0.099,455,4,1,2013,"$2,786,662 ",USA
1149,Brad Fritsch,81,71.085,297,58.06,66.59,-0.212,0.166,-0.046,350,1,,2013,"$452,184 ",CAN
1150,Brandt Jobe,62,71.175,292.1,64.78,66,-0.002,0.123,0.121,283,,,2013,"$309,105 ",USA
1151,Brandt Snedeker,79,69.791,281.3,62.57,65.68,0.692,0.449,1.141,853,9,2,2013,"$5,318,087 ",USA
1152,Brendan Steele,86,71.053,290.7,61.56,65.99,0.028,-0.005,0.023,876,2,,2013,"$1,004,161 ",USA
1153,Brendon de Jonge,110,70.154,286.3,66.28,68.84,0.03,0.725,0.756,503,4,,2013,"$1,795,244 ",ZIM
1154,Brian Davis,91,70.69,278.8,68.61,62.15,0.232,0.458,0.689,"1,224",4,,2013,"$1,221,524 ",ENG
1155,Brian Gay,79,71.16,275.1,64.79,56.68,0.428,-0.694,-0.266,"1,099",1,1,2013,"$1,426,017 ",USA
1156,Brian Harman,89,71.29,287.5,60.64,62.61,0.147,-0.443,-0.296,578,2,,2013,"$909,759 ",USA
1157,Brian Stuard,78,70.869,281.8,65.99,65.77,0.067,-0.135,-0.068,598,4,,2013,"$1,032,028 ",USA
1158,Bryce Molder,82,70.52,273.8,65.95,63.68,0.594,-0.09,0.504,979,,,2013,"$816,922 ",USA
1159,Bubba Watson,76,70.276,303.7,58.73,69.41,-0.096,1.164,1.069,"1,365",3,,2013,"$1,759,276 ",USA
1160,Bud Cauley,67,71.445,287.5,59.16,63.76,-0.57,0.323,-0.247,343,,,2013,"$443,698 ",USA
1161,Cameron Percy,68,71.106,293.6,59.28,65.74,0.121,-0.288,-0.167,230,,,2013,"$277,336 ",AUS
1162,Cameron Tringale,80,70.724,287.2,62.89,67.01,0.104,0.239,0.343,726,1,,2013,"$971,209 ",USA
1163,Camilo Villegas,79,70.586,291.8,58.56,66.74,-0.149,0.608,0.458,695,2,,2013,"$709,677 ",COL
1164,Carl Pettersson,82,71.273,290.2,59.43,62.22,-0.028,-0.101,-0.129,516,1,,2013,"$738,143 ",SWE
1165,Casey Wittenberg,72,71.659,280.5,54.61,62.14,0.254,-0.874,-0.62,199,1,,2013,"$425,395 ",USA
1166,Chad Campbell,78,71.234,288.9,60.7,67.03,-0.249,0.205,-0.044,330,1,,2013,"$510,661 ",USA
1167,Charl Schwartzel,69,69.651,296.1,59.87,65.85,0.301,0.967,1.268,490,5,,2013,"$2,256,723 ",RSA
1168,Charles Howell III,87,70.272,294.8,53.11,66.73,0.438,0.424,0.862,"1,398",5,,2013,"$1,877,389 ",USA
1169,Charley Hoffman,84,70.497,294,59.57,65.48,0.128,0.45,0.578,"1,016",5,,2013,"$1,582,423 ",USA
1170,Charlie Beljan,62,71.839,295.4,59.86,64.61,-0.205,-0.32,-0.524,459,1,,2013,"$916,229 ",USA
1171,Charlie Wi,75,71.174,282.1,63.02,60.56,0.176,-0.427,-0.251,401,1,,2013,"$656,672 ",KOR
1172,Chez Reavie,72,70.6,282.8,70.29,66.74,-0.009,0.383,0.375,439,,,2013,"$590,925 ",USA
1173,Chris Kirk,89,70.206,289,59.65,65.92,0.456,0.506,0.962,"1,399",3,,2013,"$1,728,616 ",USA
1174,Chris Stroud,88,70.546,277,62.4,64.33,0.34,0.276,0.616,"1,245",4,,2013,"$1,602,122 ",USA
1175,Colt Knost,69,72.264,271.7,66.48,61.71,0.435,-1.714,-1.279,130,,,2013,"$176,710 ",USA
1176,D.A. Points,87,71.116,281.1,63.48,62.77,-0.161,0.16,0,453,3,1,2013,"$2,658,887 ",USA
1177,D.H. Lee,65,71.187,280.9,66.23,65.98,0.037,-0.213,-0.176,432,3,,2013,"$882,793 ",KOR
1178,D.J. Trahan,48,71.429,293.4,63.54,67.87,-0.247,-0.285,-0.531,169,1,,2013,"$284,249 ",USA
1179,Daniel Summerhays,83,70.813,285.7,62.08,64.46,0.221,0.232,0.453,"1,307",4,,2013,"$1,277,886 ",USA
1180,Darron Stiles,51,71.947,275.1,67.64,62.24,-0.427,-0.484,-0.912,125,,,2013,"$184,866 ",USA
1181,David Hearn,88,70.738,279.7,62.08,64.71,0.484,-0.139,0.345,"1,105",2,,2013,"$1,171,515 ",CAN
1182,David Lingmerth,68,70.996,285.8,64.87,63.24,-0.009,0.024,0.015,806,3,,2013,"$1,748,109 ",SWE
1183,David Lynn,70,71.016,277.9,59.27,62.48,0.432,-0.071,0.361,"1,204",2,,2013,"$1,633,253 ",ENG
1184,David Mathis,71,72.222,280.6,62.42,63.6,-0.448,-0.701,-1.149,197,1,,2013,"$274,477 ",USA
1185,David Toms,49,71.134,277.4,66.5,63.64,-0.379,-0.301,-0.679,326,1,,2013,"$646,161 ",USA
1186,Derek Ernst,58,72.271,291.5,60.49,63.89,-0.216,-0.859,-1.075,598,1,1,2013,"$1,330,856 ",USA
1187,Dicky Pride,71,71.293,274.8,65.24,64.43,-0.011,-0.35,-0.361,293,2,,2013,"$495,390 ",USA
1188,Doug LaBelle II,72,71.317,280.1,67.42,64.37,0.545,-0.932,-0.386,290,,,2013,"$338,921 ",USA
1189,Dustin Johnson,71,70.115,305.8,53.36,66.75,-0.101,0.906,0.805,760,6,1,2013,"$2,963,214 ",USA
1190,Erik Compton,74,71.011,292.7,56.89,65.09,0.234,-0.427,-0.193,547,1,,2013,"$651,660 ",USA
1191,Ernie Els,63,70.491,289.6,57.72,61.74,-0.136,0.444,0.308,918,1,,2013,"$1,173,761 ",RSA
1192,Fabián Gómez,65,71.33,289.5,61.88,64.1,0.124,-0.372,-0.248,339,1,,2013,"$586,942 ",ARG
1193,Freddie Jacobson,63,70.108,287.3,56.26,61.67,0.449,0.626,1.075,821,3,,2013,"$1,236,722 ",SWE
1194,Gary Woodland,94,70.733,303.8,57.6,66.98,0.062,0.397,0.459,603,2,1,2013,"$1,915,732 ",USA
1195,Geoff Ogilvy,57,71.588,285.1,60.94,62.18,-0.337,-0.311,-0.649,522,1,,2013,"$892,920 ",AUS
1196,George McNeill,68,70.876,286,65.62,65.28,-0.028,0.213,0.185,524,,,2013,"$500,798 ",USA
1197,Graeme McDowell,53,70.503,277.5,68.51,62.7,0.136,0.407,0.543,"1,116",4,1,2013,"$2,174,595 ",NIR
1198,Graham DeLaet,94,70.089,298.6,65.8,70.51,0.1,0.969,1.069,"1,415",7,,2013,"$2,834,900 ",CAN
1199,Greg Chalmers,77,71.228,276.8,62.8,61.64,0.857,-0.89,-0.033,558,2,,2013,"$632,283 ",AUS
1200,Greg Owen,73,71.554,292.8,59.76,65.73,-0.669,0.054,-0.615,336,,,2013,"$442,198 ",ENG
1201,Harris English,95,70.438,295.2,58.65,66.02,0.477,0.136,0.613,"1,442",4,1,2013,"$2,201,167 ",USA
1202,Henrik Norlander,70,71.36,295,60.13,67.4,-0.16,-0.094,-0.254,229,,,2013,"$401,958 ",SWE
1203,Henrik Stenson,65,69.248,290.9,70.09,71.96,0.004,1.614,1.618,"4,750",8,2,2013,"$6,388,230 ",SWE
1204,Hunter Mahan,91,70.106,290,66.61,67.58,0.382,0.752,1.134,653,5,,2013,"$3,036,164 ",USA
1205,Ian Poulter,59,70.382,281.7,62.42,63.52,0.177,0.337,0.514,"1,133",4,,2013,"$1,723,463 ",ENG
1206,J.J. Henry,83,70.992,284.7,64.93,67.97,0.146,-0.074,0.072,516,2,,2013,"$761,861 ",USA
1207,James Driscoll,76,70.888,287.1,53.89,63.81,0.65,-0.261,0.389,524,2,,2013,"$821,101 ",USA
1208,James Hahn,78,71.222,293.3,58.58,64.71,0.002,-0.07,-0.067,480,2,,2013,"$853,507 ",USA
1209,Jason Bohn,70,71.101,276.3,65.74,64.44,0.185,-0.217,-0.033,454,2,,2013,"$739,030 ",USA
1210,Jason Day,86,69.732,299.3,58.03,64.93,0.37,0.606,0.976,698,7,,2013,"$3,625,030 ",AUS
1211,Jason Dufner,78,69.912,285.9,64.81,67.53,-0.231,0.812,0.581,685,5,1,2013,"$3,132,268 ",USA
1212,Jason Kokrak,78,70.924,303.2,53.17,65.67,-0.119,0.309,0.19,"1,013",4,,2013,"$1,267,525 ",USA
1213,Jeff Maggert,63,71.208,277.6,68.83,66.58,-0.316,0.049,-0.267,453,2,,2013,"$1,022,331 ",USA
1214,Jeff Overton,78,70.863,292.4,57.83,64.89,0.315,0.011,0.327,506,2,,2013,"$721,723 ",USA
1215,Jerry Kelly,75,70.522,273.2,71.81,65.41,0.198,0.394,0.592,650,2,,2013,"$832,407 ",USA
1216,Jim Furyk,80,69.828,275.3,70.47,68.3,0.092,1.297,1.389,758,7,,2013,"$3,204,779 ",USA
1217,Jim Herman,59,71.045,299.2,62.71,67.98,-0.229,0.282,0.053,325,2,,2013,"$490,756 ",USA
1218,Jimmy Walker,84,70.332,298.5,52.18,66.07,0.276,0.654,0.93,"1,388",5,,2013,"$2,117,570 ",USA
1219,Jin Park,52,71.777,273.2,68.82,63.44,-0.027,-0.485,-0.512,125,,,2013,"$136,457 ",KOR
1220,John Huh,88,70.758,282,68.53,66.6,-0.227,0.525,0.298,"1,279",2,,2013,"$1,529,482 ",USA
1221,John Merrick,79,70.736,284.3,60.51,66.53,0.063,0.454,0.517,"1,331",2,1,2013,"$1,969,478 ",USA
1222,John Rollins,77,70.779,295.6,58.56,67.43,-0.243,0.47,0.227,696,2,,2013,"$1,164,049 ",USA
1223,John Senden,79,70.97,289.3,60.57,65.95,-0.138,0.216,0.078,498,,,2013,"$667,027 ",AUS
1224,Johnson Wagner,64,72.013,278.6,58.69,64.35,0.271,-1.217,-0.946,430,2,,2013,"$801,955 ",USA
1225,Jonas Blixt,76,71.11,283.7,56.54,60.89,0.312,-0.715,-0.403,"1,135",2,1,2013,"$2,027,517 ",SWE
1226,Jordan Spieth,82,69.668,289.4,67.8,66.94,0.182,1.291,1.473,"1,690",9,1,2013,"$3,879,820 ",USA
1227,Josh Teater,86,70.904,293.7,60.77,66.53,0.022,0.316,0.338,726,3,,2013,"$1,332,652 ",USA
1228,Justin Bolli,59,72.034,279.1,61.36,61.11,0.038,-1.27,-1.232,278,2,,2013,"$545,187 ",USA
1229,Justin Hicks,79,71.138,280,69.61,68.59,-0.219,0.08,-0.139,451,1,,2013,"$732,742 ",USA
1230,Justin Leonard,86,70.863,276.3,64.36,63.11,0.348,-0.233,0.115,644,1,,2013,"$694,139 ",USA
1231,Justin Rose,62,69.225,296.6,63.57,68.89,-0.188,1.912,1.723,"1,300",7,1,2013,"$4,146,148 ",ENG
1232,K.J. Choi,85,70.322,278.3,66.04,65.87,0.337,0.508,0.845,816,2,,2013,"$973,751 ",KOR
1233,Keegan Bradley,88,69.724,300.6,62.82,66.54,0.25,1.153,1.403,693,7,,2013,"$3,636,813 ",USA
1234,Ken Duke,87,71.025,275.1,69.28,63.09,-0.026,-0.04,-0.065,930,2,1,2013,"$1,722,583 ",USA
1235,Kevin Chappell,80,70.927,292.9,61.52,66.11,-0.338,0.722,0.384,"1,237",3,,2013,"$1,589,839 ",USA
1236,Kevin Stadler,83,70.632,289.8,64.21,68.92,-0.284,0.751,0.467,"1,412",3,,2013,"$1,281,177 ",USA
1237,Kevin Streelman,86,70.267,287.5,67.25,66.41,0.246,0.611,0.858,553,5,1,2013,"$3,088,284 ",USA
1238,Kyle Stanley,71,71.842,298.1,59.54,67.37,-0.683,0.351,-0.332,759,3,,2013,"$1,462,943 ",USA
1239,Lee Westwood,70,70.158,290.3,62.59,65.22,-0.484,1.088,0.604,"1,291",6,,2013,"$2,081,731 ",ENG
1240,Lee Williams,62,71.792,275.6,59.76,61.67,-0.427,-0.364,-0.79,134,,,2013,"$133,755 ",USA
1241,Lucas Glover,65,71.577,293.7,61.62,66.41,-0.851,0.765,-0.086,454,2,,2013,"$747,812 ",USA
1242,Luke Donald,60,69.793,278.1,62.87,62.16,0.528,0.752,1.279,483,5,,2013,"$1,930,646 ",ENG
1243,Luke Guthrie,82,71.139,283.5,61.24,63.62,-0.205,0.219,0.015,607,2,,2013,"$991,902 ",USA
1244,Luke List,65,72.444,306.3,45.58,62.39,-0.267,-1.077,-1.344,202,,,2013,"$264,401 ",USA
1245,Marc Leishman,77,70.532,286.6,58.77,65.08,0.08,0.237,0.318,"1,071",4,,2013,"$1,491,359 ",AUS
1246,Mark Wilson,56,70.916,278,70.74,66.24,-0.21,0.51,0.3,476,3,,2013,"$913,730 ",USA
1247,Martin Flores,83,70.676,300.4,53.67,65.53,0.08,0.346,0.426,630,2,,2013,"$805,597 ",USA
1248,Martin Kaymer,61,70.559,288.4,61.36,64.85,0.137,-0.003,0.135,679,3,,2013,"$882,937 ",GER
1249,Martin Laird,68,71.029,293.4,60.78,63.64,-0.127,0.136,0.009,814,2,1,2013,"$1,755,393 ",SCO
1250,Matt Every,89,71.023,288.1,58.94,65.54,-0.092,0.385,0.293,"1,097",4,,2013,"$1,188,867 ",USA
1251,Matt Jones,83,70.245,292.3,64.74,66,0.145,0.74,0.885,"1,419",5,,2013,"$1,724,707 ",AUS
1252,Matt Kuchar,93,69.561,284.9,58.93,65.84,0.398,0.999,1.398,"1,823",8,2,2013,"$5,616,808 ",USA
1253,Michael Bradley,56,72.345,285.3,55.46,66.13,-0.45,-0.869,-1.319,74,,,2013,"$79,107 ",USA
1254,Michael Thompson,66,71.298,279.4,61.39,61.78,-0.12,-0.391,-0.511,938,3,1,2013,"$1,707,637 ",USA
1255,Mike Weir,60,71.643,270.5,55.07,56.9,0.288,-1.059,-0.771,173,,,2013,"$194,510 ",CAN
1256,Morgan Hoffmann,64,70.613,295.4,57.72,64.67,0.193,0.125,0.318,444,3,,2013,"$871,003 ",USA
1257,Nicholas Thompson,99,70.92,291.6,64.74,67.85,-0.281,0.505,0.225,"1,043",2,,2013,"$959,434 ",USA
1258,Nick Watney,88,70.78,291.2,62.4,68.48,0.006,0.506,0.512,738,4,,2013,"$2,477,639 ",USA
1259,Nicolas Colsaerts,50,71.088,305.7,53.8,66.78,-0.579,0.311,-0.268,353,3,,2013,"$720,164 ",BEL
1260,Padraig Harrington,52,71.017,288.3,58.39,60.88,-0.131,0.042,-0.089,345,3,,2013,"$711,244 ",IRL
1261,Pat Perez,69,70.835,290.1,61.35,67.87,-0.039,0.323,0.284,549,4,,2013,"$974,800 ",USA
1262,Patrick Reed,83,70.807,292,56.13,63.79,0.35,-0.227,0.122,"1,125",5,1,2013,"$1,961,519 ",USA
1263,Peter Hanson,45,70.368,295.3,56.31,61.24,0.484,0.024,0.508,356,1,,2013,"$610,178 ",SWE
1264,Phil Mickelson,78,69.742,287.9,57.3,66.67,0.661,0.775,1.436,"1,313",7,2,2013,"$5,495,793 ",USA
